time	V(cmp_out)	V(filt_out)	V(vin_sensor)
1.409701218827443e+00	-4.951857e-10	1.088627e+00	1.093543e-01
1.413415504541728e+00	2.551550e-09	1.108757e+00	1.114173e-01
1.417129790256014e+00	6.866500e-09	1.130888e+00	1.136792e-01
1.420844075970299e+00	1.244966e-08	1.155020e+00	1.161403e-01
1.421844075970299e+00	1.780991e-05	1.161806e+00	1.168315e-01
1.422844075970299e+00	1.792313e-03	1.168724e+00	1.175357e-01
1.423844075970299e+00	1.859730e-01	1.175773e+00	1.182531e-01
1.423969075970299e+00	3.221702e-01	1.176664e+00	1.183436e-01
1.424220075970299e+00	8.694398e-01	1.178458e+00	1.185261e-01
1.424246075970299e+00	9.523281e-01	1.178644e+00	1.185451e-01
1.424272075970298e+00	1.038579e+00	1.178831e+00	1.185640e-01
1.424298075970299e+00	1.128193e+00	1.179017e+00	1.185830e-01
1.424324075970299e+00	1.221169e+00	1.179204e+00	1.186020e-01
1.424350075970299e+00	1.317507e+00	1.179390e+00	1.186210e-01
1.424376075970299e+00	1.417209e+00	1.179577e+00	1.186399e-01
1.424402075970299e+00	1.520272e+00	1.179764e+00	1.186589e-01
1.424422075970299e+00	1.598991e+00	1.179907e+00	1.186736e-01
1.424430075970299e+00	1.614654e+00	1.179965e+00	1.186794e-01
1.424478075970299e+00	1.626929e+00	1.180310e+00	1.187145e-01
1.424926075970299e+00	1.638489e+00	1.183547e+00	1.190437e-01
1.425438075970299e+00	1.642497e+00	1.187278e+00	1.194231e-01
1.426033933113156e+00	1.644114e+00	1.191664e+00	1.198689e-01
1.426629790256013e+00	1.646350e+00	1.196094e+00	1.203191e-01
1.427225647398870e+00	1.649205e+00	1.200568e+00	1.207737e-01
1.427821504541727e+00	1.652678e+00	1.205088e+00	1.212327e-01
1.428417361684584e+00	1.656769e+00	1.209652e+00	1.216962e-01
1.429013218827441e+00	1.661479e+00	1.214262e+00	1.221641e-01
1.429609075970298e+00	1.666807e+00	1.218916e+00	1.226365e-01
1.429860075970298e+00	2.124914e+00	1.220889e+00	1.228367e-01
1.429914504541727e+00	2.329401e+00	1.221317e+00	1.228802e-01
1.429968933113156e+00	2.510806e+00	1.221747e+00	1.229238e-01
1.430023361684584e+00	2.669129e+00	1.222176e+00	1.229674e-01
1.430077790256013e+00	2.804368e+00	1.222606e+00	1.230110e-01
1.430132218827441e+00	2.916524e+00	1.223036e+00	1.230547e-01
1.430186647398870e+00	3.005598e+00	1.223467e+00	1.230984e-01
1.430241075970298e+00	3.071589e+00	1.223898e+00	1.231421e-01
1.430369075970298e+00	3.179816e+00	1.224913e+00	1.232451e-01
1.430625075970298e+00	3.268218e+00	1.226950e+00	1.234517e-01
1.431137075970298e+00	3.297911e+00	1.231046e+00	1.238673e-01
